Category,Time,Date
Unauthorised: , 16:50:44, 09/02/2022
Unauthorised: , 16:50:44, 09/02/2022
Unauthorised: , 16:50:44, 09/02/2022
Authorised: , 16:50:45, 09/02/2022
Unauthorised: , 16:50:45, 09/02/2022
Unauthorised: , 16:50:45, 09/02/2022
Unauthorised: , 16:50:45, 09/02/2022
Unauthorised: , 16:50:45, 09/02/2022
Unauthorised: , 16:50:45, 09/02/2022
Unauthorised: , 16:50:45, 09/02/2022
Unauthorised: , 16:50:46, 09/02/2022
Unauthorised: , 16:50:46, 09/02/2022
Unauthorised: , 16:50:46, 09/02/2022
Unauthorised: , 16:50:46, 09/02/2022
Authorised: , 16:50:46, 09/02/2022
Unauthorised: , 16:50:46, 09/02/2022
Unauthorised: , 16:50:46, 09/02/2022
Unauthorised: , 16:50:47, 09/02/2022
Unauthorised: , 16:50:47, 09/02/2022
Authorised: , 16:50:47, 09/02/2022
Unauthorised: , 16:50:47, 09/02/2022
Authorised: , 16:50:47, 09/02/2022
Unauthorised: , 16:50:47, 09/02/2022
Unauthorised: , 16:50:47, 09/02/2022
Unauthorised: , 16:50:48, 09/02/2022
Unauthorised: , 16:50:48, 09/02/2022
Unauthorised: , 16:50:48, 09/02/2022
Unauthorised: , 16:50:48, 09/02/2022
Unauthorised: , 16:50:48, 09/02/2022
Unauthorised: , 16:50:48, 09/02/2022
Unauthorised: , 16:50:48, 09/02/2022
Unauthorised: , 16:50:49, 09/02/2022
Unauthorised: , 16:50:49, 09/02/2022
Unauthorised: , 16:50:49, 09/02/2022
Authorised: , 16:50:49, 09/02/2022
Unauthorised: , 16:50:49, 09/02/2022
Unauthorised: , 16:50:49, 09/02/2022
Unauthorised: , 16:50:49, 09/02/2022
Unauthorised: , 16:50:50, 09/02/2022
Authorised: , 16:50:50, 09/02/2022
Authorised: , 16:50:50, 09/02/2022
Authorised: , 16:50:50, 09/02/2022
Unauthorised: , 16:50:50, 09/02/2022
Unauthorised: , 16:50:50, 09/02/2022
Unauthorised: , 16:50:50, 09/02/2022
Unauthorised: , 16:50:51, 09/02/2022
